SolIndex,Name ,Country,Lang,Yr,Round,Rank,Problem,Size,hr,min,sec,Rqmts,,LOC,eLOC,Preprocessor,Macros,Paren,Brace,Bracket,FunCnt,FunAvgELOC,FunAvgIntrfc,FunAvgCyc
106,meret,Poland,C++,2012,Qual,5091,Recycled Numbers,Small,23,24,32,,,67,59,33,12,42,8,0,3,7.33,1.33,3.33
107,meret,Poland,C++,2012,Qual,5091,Recycled Numbers,Large,23,24,56,,,67,59,33,12,42,8,0,3,7.33,1.33,3.33
108,meret,Poland,C++,2012,1B,1344,Safety in Numbers,Small,1,44,56,,,77,67,33,12,48,11,4,2,15.5,1,5
109,meret,Poland,C++,2012,1B,1344,Safety in Numbers,Large,1,45,25,,,77,67,33,12,48,11,4,2,15.5,1,5
110,meret,Poland,C++,2012,1B,1344,Equal Sums,Small,1,59,21,,,107,90,33,12,62,20,10,5,9.6,1.6,3.6
111,meret,Poland,C++,2012,1C,3,Diamond Inheritance,Small,0,26,38,,,82,71,33,12,48,11,8,3,10,1.33,4
112,meret,Poland,C++,2012,1C,3,Diamond Inheritance,Large,0,27,41,,,82,71,33,12,48,11,8,3,10,1.33,4
113,meret,Poland,C++,2012,1C,3,Out of Gas,Small,1,27,22,,,86,76,33,12,58,11,14,3,13,2.33,3.33
114,meret,Poland,C++,2012,1C,3,Out of Gas,Large,1,27,50,,,86,76,33,12,58,11,14,3,13,2.33,3.33
115,meret,Poland,C++,2012,1C,3,Box Factory,Small,1,21,2,,,107,90,34,12,55,20,32,2,22.5,1,10
116,meret,Poland,C++,2012,1C,3,Box Factory,Large,1,22,9,,,107,90,34,12,55,20,32,2,22.5,1,10
117,meret,Poland,C++,2012,2,246,Swinging Wild,Small,1,16,46,,,69,61,33,12,43,8,18,2,10,1.5,5
118,meret,Poland,C++,2012,2,246,Swinging Wild,Large,1,17,29,,,69,61,33,12,43,8,18,2,10,1.5,5
119,meret,Poland,C++,2012,2,246,Mountain View,Small,0,54,6,,,82,11,33,12,50,12,12,3,10.33,2,3.33
120,meret,Poland,C++,2012,2,246,Mountain View,Large,0,55,29,,,82,11,33,12,50,12,12,3,10.33,2,3.33
121,Farmer.John,Hong Kong,C++,2012,Qual,2576,Speaking in Tongues,Small,11,4,57,,,28,26,4,10,16,2,8,1,16,1,1
122,Farmer.John,Hong Kong,C++,2012,Qual,2576,Dancing With the Googlers,Small,11,29,48,,,26,23,4,1,17,3,21,1,16,1,3
123,Farmer.John,Hong Kong,C++,2012,Qual,2576,Dancing With the Googlers,Large,11,30,25,,,26,23,4,1,17,3,21,1,16,1,3
124,Farmer.John,Hong Kong,C++,2012,Qual,2576,Recycled Numbers,Small,11,47,39,,,31,27,6,1,24,4,2,1,17,1,6
125,Farmer.John,Hong Kong,C++,2012,Qual,2576,Recycled Numbers,Large,11,55,5,,,31,27,6,1,24,4,2,1,17,1,6
126,Farmer.John,Hong Kong,C++,2012,1C,40,Diamond Inheritance,Small,,13,43,,,51,46,5,1,26,5,28,1,36,1,9
127,Farmer.John,Hong Kong,C++,2012,1C,40,Diamond Inheritance,Large,,18,5,,,51,46,5,1,26,5,28,1,36,1,9
128,Farmer.John,Hong Kong,C++,2012,1C,40,Out of Gas,Small,1,10,16,,,61,54,5,1,34,7,17,4,11,3.5,2.75
129,Farmer.John,Hong Kong,C++,2012,1C,40,Box Factory,Small,1,31,46,,,42,36,6,2,22,6,32,1,27,1,6
130,Farmer.John,Hong Kong,C++,2012,1C,40,Box Factory,Large,1,32,52,,,42,36,6,2,22,6,32,1,27,1,6
131,Farmer.John,Hong Kong,C++,2012,2,475,Swinging Wild,Small,1,11,17,,,31,27,3,1,15,4,18,1,20,1,4
132,Farmer.John,Hong Kong,C++,2012,2,475,Swinging Wild,Large,1,12,23,,,31,27,3,1,15,4,18,1,20,1,4
133,Farmer.John,Hong Kong,C++,2012,2,475,Aerobics,Small,1,37,48,,,60,51,3,1,26,9,33,2,22.5,2.5,5.5
134,Farmer.John,Hong Kong,C++,2012,2,475,Aerobics,Large,1,41,38,,,61,52,3,1,28,9,33,2,22.5,2.5,5.5
135,Farmer.John,Hong Kong,C++,2012,3,22,Perfect Game,Small,,19,10,,,44,38,4,1,27,7,30,2,14,2,3
136,Farmer.John,Hong Kong,C++,2012,3,22,Perfect Game,Large,,20,13,,,44,38,4,1,27,7,30,2,14,2,3
137,Farmer.John,Hong Kong,C++,2012,3,22,Quality Food,Small,1,33,24,,,50,44,4,2,24,6,26,2,18.5,1.5,3
138,Farmer.John,Hong Kong,C++,2012,3,22,Quality Food,Large,1,54,20,,,55,51,5,1,29,4,41,2,20.5,2,4
139,Farmer.John,Hong Kong,C++,2012,3,22,Lost Password,Small,,57,59,,,67,59,4,2,32,8,28,3,17.33,2.67,4.67
140,gawry,Poland,C++,2012,Qual,138,Speaking in Tongues,Small,17,20,38,,,43,40,11,1,29,4,9,2,13,1,4
141,gawry,Poland,C++,2012,Qual,138,Dancing With the Googlers,Small,17,51,10,,,49,45,11,10,50,4,19,2,15,1,7
142,gawry,Poland,C++,2012,Qual,138,Dancing With the Googlers,Small,17,54,21,,,49,45,11,10,50,4,19,2,15,1,7
143,gawry,Poland,C++,2012,Qual,138,Recycled Numbers,Small,18,12,56,,,59,53,12,2,39,7,6,2,19,1,7
144,gawry,Poland,C++,2012,Qual,138,Recycled Numbers,Large,18,14,31,,,59,53,12,2,39,7,6,2,19,1,7
145,gawry,Poland,C++,2012,Qual,138,Hall of Mirrors,Small,22,48,1,,,100,90,14,3,94,13,13,5,14.2,3.2,8.6
146,gawry,Poland,C++,2012,Qual,138,Hall of Mirrors,Large,22,50,20,,,100,90,14,3,94,13,13,5,14.2,3.2,8.6
